epoch,loss,lr,output_loss,output_mean_absolute_error,val_loss,val_output_loss,val_output_mean_absolute_error,val_variance_output_loss,variance_output_loss
0,0.030661549613681397,0.0005,0.009611196391567399,0.5131842903321302,-0.35766732429756837,-0.37720998683396506,0.3499967245494618,-0.37720998683396506,0.009611196391567399
1,-0.4905293481188673,0.0005,-0.509737909877602,0.29335114246682276,-0.5750296571675468,-0.5940423467580009,0.26844887961359587,-0.5940423467580009,-0.509737909877602
2,-0.6002249479105201,0.0005,-0.6191989410715767,0.26823848825466784,-0.6637381876216215,-0.6827180946574491,0.2621385718093199,-0.6827180946574491,-0.6191989410715767
3,-0.6962357761361931,0.0005,-0.7152620963280714,0.24631857683386985,-0.6835077860776115,-0.7025844910565544,0.24994697377962224,-0.7025844910565544,-0.7152620963280714
4,-0.7336493849377089,0.0005,-0.7527962626912926,0.2387884833578822,-0.7036645850714516,-0.7228849950958701,0.2532430843395345,-0.7228849950958701,-0.7527962626912926
5,-0.7477553497198262,0.0005,-0.7670573348863216,0.23532903222720833,-0.796212771359612,-0.815600731793572,0.22388463335878708,-0.815600731793572,-0.7670573348863216
6,-0.7710606197390375,0.0005,-0.7905243044789834,0.2292713261669195,-0.7452826499938965,-0.7648187279701233,0.2299215968917398,-0.7648187279701233,-0.7905243044789834
7,-0.7884549824874613,0.0005,-0.8080696588075613,0.2244659416094611,-0.808012019185459,-0.8277027642025667,0.21875361134024227,-0.8277027642025667,-0.8080696588075613
8,-0.820168873177299,0.0005,-0.8399356528173519,0.22015407756914065,-0.8301491106257719,-0.8499898349537569,0.21630295234567978,-0.8499898349537569,-0.8399356528173519
9,-0.8375318257869044,0.0005,-0.8574506610254699,0.21500157885536364,-0.8777556629741893,-0.8977406235302196,0.20765829524573157,-0.8977406235302196,-0.8574506610254699
10,-0.8622793955138967,0.0005,-0.882352404202087,0.21218124079176143,-0.8110996344510246,-0.8312804032774532,0.21643500818925746,-0.8312804032774532,-0.882352404202087
11,-0.8492439027074017,0.0005,-0.8694983185092106,0.21494736522436142,-0.8782898503191331,-0.8986168223268846,0.20609084122321186,-0.8986168223268846,-0.8694983185092106
12,-0.8767039873931981,0.0005,-0.8971142995206616,0.20784878561013861,-0.8019537995843327,-0.8224394917488098,0.22709281479611115,-0.8224394917488098,-0.8971142995206616
13,-0.8706660457426989,0.0005,-0.8912375490122204,0.2122069765118104,-0.8003258424646714,-0.820991197053124,0.20527109679053812,-0.820991197053124,-0.8912375490122204
14,-0.8995136290411406,0.0005,-0.9202723131526874,0.20362503449373606,-0.8638695934239555,-0.8847394778447992,0.21340873311547673,-0.8847394778447992,-0.9202723131526874
15,-0.9275658108011077,0.00025,-0.9484630596788624,0.1991695525902736,-0.850350839250228,-0.8712666770991158,0.21240935693768895,-0.8712666770991158,-0.9484630596788624
16,-0.9457943333855158,0.00025,-0.9667367806917504,0.1987337513437754,-0.9230019835864797,-0.9439676824737998,0.19925886480247273,-0.9439676824737998,-0.9667367806917504
17,-0.9517804972733124,0.00025,-0.9727711353120925,0.19593005731135985,-0.8486457081402049,-0.8696649319985333,0.2034524644122404,-0.8696649319985333,-0.9727711353120925
18,-0.9466124384463588,0.00025,-0.9676561197148094,0.197694666777985,-0.9154335295452791,-0.9365118356312022,0.20196478770059698,-0.9365118356312022,-0.9676561197148094
19,-0.9573435085483745,0.00025,-0.9784492114676705,0.19706114079756074,-0.9034692890503827,-0.9245961553910199,0.2018875619944404,-0.9245961553910199,-0.9784492114676705
20,-0.9793251443512833,0.000125,-1.0004640813869765,0.1928362129609796,-0.9046080778626835,-0.9257562405922833,0.198454251184183,-0.9257562405922833,-1.0004640813869765
21,-0.9969475714466239,0.000125,-1.018100545376162,0.19169748791410954,-0.8605361230233136,-0.8816947376026827,0.20658742154345794,-0.8816947376026827,-1.018100545376162
22,-0.9965588442886932,6.25e-05,-1.017720012725154,0.19003792465487612,-0.8646468905841603,-0.8858097090440638,0.20717034532743342,-0.8858097090440638,-1.017720012725154
23,-1.0025130959251258,6.25e-05,-1.023678899188585,0.1886763856569423,-0.9250425240572762,-0.9462081895155066,0.1963301064337001,-0.9462081895155066,-1.023678899188585
24,-0.9980931825275663,6.25e-05,-1.0192596542684338,0.1890854313969612,-0.8113918602466583,-0.8325612422297982,0.20436011430095224,-0.8325612422297982,-1.0192596542684338
25,-1.00266147640687,6.25e-05,-1.0238319416589374,0.18725189029038708,-0.865843769382028,-0.8870146625182208,0.20475930852048538,-0.8870146625182208,-1.0238319416589374
26,-1.0109589446949054,6.25e-05,-1.0321322083473206,0.1879144314723679,-0.910364897812114,-0.931539048166836,0.19717669574653401,-0.931539048166836,-1.0321322083473206
27,-0.9992261049868185,3.125e-05,-1.0204002378107626,0.18912695687782916,-0.9372091433581184,-0.9583831604789285,0.1924494373447755,-0.9583831604789285,-1.0204002378107626
28,-1.0091880295850053,3.125e-05,-1.0303613954707036,0.18655225540263742,-0.9134315953535193,-0.9346044414183673,0.19995897570077112,-0.9346044414183673,-1.0303613954707036
29,-1.0248167477076566,3.125e-05,-1.045990499137323,0.1855188159248497,-0.9308631840874168,-0.9520376079222735,0.1935707663788515,-0.9520376079222735,-1.045990499137323
30,-1.0115918237951738,3.125e-05,-1.0327657793141618,0.18706235365022586,-0.870789622559267,-0.8919638745925006,0.20391054276157827,-0.8919638745925006,-1.0327657793141618
31,-1.017812266379972,1.5625e-05,-1.0389869820468034,0.18738926626458952,-0.9634945602977977,-0.9846685949493857,0.18619210316854365,-0.9846685949493857,-1.0389869820468034
32,-1.034396317186235,1.5625e-05,-1.0555705201776722,0.18407132028590276,-0.9112659044125501,-0.9324409330592436,0.19454185752307668,-0.9324409330592436,-1.0555705201776722
33,-1.0170143993594978,1.5625e-05,-1.0381885208661044,0.18742433067741274,-0.8755161797299105,-0.8966899724567637,0.20208542136585012,-0.8966899724567637,-1.0381885208661044
34,-1.0073952916302258,1.5625e-05,-1.0285688634914687,0.1875609137306485,-0.8706335811054006,-0.8918062273193809,0.2036917647894691,-0.8918062273193809,-1.0285688634914687
35,-1.0245755197881143,7.8125e-06,-1.0457483492320097,0.18529110307557672,-0.9441158070283777,-0.9652879448497996,0.1971336156129837,-0.9652879448497996,-1.0457483492320097
36,-1.0305274177955677,7.8125e-06,-1.0516997824741314,0.1845882019098801,-0.9511636390405542,-0.9723365447100472,0.1913824835244347,-0.9723365447100472,-1.0516997824741314
37,-1.0219083522694021,3.90625e-06,-1.0430807984327968,0.1854970275978499,-0.9106194727561053,-0.9317918069222394,0.20079720283255859,-0.9317918069222394,-1.0430807984327968
38,-1.0182022686246075,3.90625e-06,-1.0393745159801049,0.18608159086183657,-0.8925746048198027,-0.9137466129134683,0.19920058986719916,-0.9137466129134683,-1.0393745159801049
39,-1.0223776920686793,1.953125e-06,-1.043549602167516,0.18552939320289635,-0.8695615074213814,-0.8907332455410677,0.2038785070180893,-0.8907332455410677,-1.043549602167516
40,-1.0145066516308845,1.953125e-06,-1.0356783044489124,0.1879098611541941,-0.901279652819914,-0.9224511384963989,0.20752783645601833,-0.9224511384963989,-1.0356783044489124
41,-1.0224287317523473,9.765625e-07,-1.0436003370375573,0.1863260797307461,-0.9293012899511001,-0.9504729386638192,0.1959297700839884,-0.9504729386638192,-1.0436003370375573
42,-1.0274658033364936,9.765625e-07,-1.048637461058701,0.1849730471266976,-0.9159178418271682,-0.9370894887868095,0.19938895018661723,-0.9370894887868095,-1.048637461058701
43,-1.0347153299216982,4.882813e-07,-1.0558870378174359,0.18334785367869125,-0.9119121555019828,-0.9330839111524469,0.19622827102156246,-0.9330839111524469,-1.0558870378174359
44,-1.0272971931137616,4.882813e-07,-1.0484689089316357,0.18489235828194436,-0.9060681286980125,-0.9272398598053876,0.2008163595900816,-0.9272398598053876,-1.0484689089316357
45,-1.0159162814858593,2.4414064e-07,-1.037087947507448,0.1858301574859438,-0.9008955078966477,-0.9220671934240005,0.19838751414242914,-0.9220671934240005,-1.037087947507448
46,-1.026142606629601,2.4414064e-07,-1.047314227381839,0.18438326793758175,-0.8477511966929716,-0.8689228050849017,0.2017324785975849,-0.8689228050849017,-1.047314227381839
47,-1.0123030350932591,1.2207032e-07,-1.0334746256659302,0.18701249615678303,-0.9111916703336379,-0.9323632366517011,0.2014167282511206,-0.9323632366517011,-1.0334746256659302
48,-1.0295022171509416,1.2207032e-07,-1.0506738469570498,0.18476054836300354,-0.9009395241737366,-0.9221111290595111,0.19648582882740917,-0.9221111290595111,-1.0506738469570498
49,-1.0219019602371167,6.103516e-08,-1.0430736070192312,0.18585099742005143,-0.9267836598788991,-0.9479552647646736,0.20012659623342402,-0.9479552647646736,-1.0430736070192312
50,-1.0166008008431784,6.103516e-08,-1.0377723861344252,0.18538940763926204,-0.8955087311127606,-0.9166803009369794,0.19629374584730933,-0.9166803009369794,-1.0377723861344252
51,-1.0224322963364516,3.051758e-08,-1.0436038627654691,0.18558335690935956,-0.93857881602119,-0.9597503542900085,0.19136674351551952,-0.9597503542900085,-1.0436038627654691
52,-1.0164000573037546,3.051758e-08,-1.0375716071340102,0.18646348211206967,-0.8885963664335363,-0.9097679011961993,0.1962433001574348,-0.9097679011961993,-1.0375716071340102
53,-1.0190534995326512,1.525879e-08,-1.0402250493629068,0.1858625122452084,-0.8911550347419346,-0.9123265695045976,0.19848071126376882,-0.9123265695045976,-1.0402250493629068
54,-1.027594674991656,1.525879e-08,-1.0487662255764008,0.18542645136012306,-0.902938145048478,-0.9241096798111411,0.2058255821466446,-0.9241096798111411,-1.0487662255764008
55,-1.0119354739973816,1e-08,-1.033107023073148,0.1867087001004551,-0.9676864673109615,-0.9888580160982469,0.19293704365982728,-0.9888580160982469,-1.033107023073148
56,-1.016494251504729,1e-08,-1.0376658024667185,0.18665952518393722,-0.9257495578597573,-0.9469210926224204,0.19252385286723867,-0.9469210926224204,-1.0376658024667185
57,-1.016413323109663,1e-08,-1.037584872562674,0.18741832466065128,-0.9395823759191176,-0.9607539176940918,0.18953287163201502,-0.9607539176940918,-1.037584872562674
58,-1.026668270177479,1e-08,-1.0478398203849792,0.1841291062816789,-0.9064631812712726,-0.9276347055154688,0.1970055252313614,-0.9276347055154688,-1.0478398203849792
59,-1.0287872990475426,1e-08,-1.0499588485005535,0.18526094359687612,-0.8847388835514293,-0.9059104148079368,0.20527451704530156,-0.9059104148079368,-1.0499588485005535
